"scope_group","product_type","canonical_slug","parent_program","title","instructor_role","level","duration_snapshot","skills","audience","official_url","github_url","repo_class","license","access_status","last_checked"
"current_product","course","agentic-ai","","Agentic AI","Instructor: Andrew Ng","Intermediate","9h55m","reflection; tool use; planning; multi-agent; agent evaluation; error analysis; deployment","具备中级 Python、基本 LLM 与 API 经验的开发者和 AI builder","https://www.deeplearning.ai/courses/agentic-ai","https://github.com/https-deeplearning-ai/agentic-ai-public","official_companion_component","未核验到根目录开放许可证；中央 hub 的集合级 open-source / educational-use 表述不足以确认一般修改或再发布范围","课程页与仓库均可访问；仓库只可表述为 Research Agent 组件/示例服务，不是完整课程镜像","2026-08-24"
"current_product","course","ai-for-everyone","","AI for Everyone","Instructor: Andrew Ng","Beginner","6h54m","AI and ML literacy; project workflow; organizational strategy; societal impact","管理者、产品人员、营销人员、工程师和普通公众；无需技术先修","https://www.deeplearning.ai/courses/ai-for-everyone","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","课程页可访问；本轮未发现可核验的公开官方课程仓库","2026-08-24"
"current_product","course","ai-prompting-for-everyone","","AI Prompting for Everyone","Instructor: Andrew Ng","Beginner","7h4m","modern prompting; source verification; deep research; writing; images; multimedia; no-code app building","使用 ChatGPT、Claude 或 Gemini 的普通用户；无需技术背景","https://www.deeplearning.ai/courses/ai-prompting-for-everyone","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","课程页可访问；本轮未发现可核验的公开官方课程仓库","2026-08-24"
"current_product","course","ai-python-for-beginners","","AI Python for Beginners","Instructor: Andrew Ng","Beginner","11h30m","Python basics; AI-assisted coding; debugging; files; data analysis; visualization; packages; APIs; automation","零编程基础学习者、转行者、知识工作者和教师","https://www.deeplearning.ai/courses/ai-python-for-beginners","","no_verified_public_repo","不适用；未发现可核验的当前公开官方 companion repo","课程页可访问；历史 helper 地址 aisetup 当前返回 404，但不占用本课程的当前 GitHub 映射字段","2026-08-24"
"current_product","course","build-with-andrew","","Build with Andrew","Instructor: Andrew Ng","Beginner","1h","vibe coding; natural-language app building; iterative refinement; debugging; web apps","从未编程但希望用 AI 构建可分享网页应用的人","https://www.deeplearning.ai/courses/build-with-andrew","https://github.com/https-deeplearning-ai/lc-build-with-andrew-platform","official_companion","未核验到根目录开放许可证；集合级 open-source 与 README educational-purpose 不足以确认一般修改/再发布范围","课程页与仓库可访问；first-party owner + course-specific README 支持配套关系，但当前 main 只有 README 与 7 张图片，所列 6 个 HTML 不在 tree、所链 PDF 404；不能称示例可下载或材料完整","2026-08-24"
"current_product","course","generative-ai-for-everyone","","Generative AI for Everyone","Instructor: Andrew Ng","Beginner","5h1m","generative AI capabilities and limits; prompting; productivity; business strategy; societal impact","企业领导者、知识工作者、非 AI 开发者和公众","https://www.deeplearning.ai/courses/generative-ai-for-everyone","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","课程页可访问；本轮未发现可核验的公开官方课程仓库","2026-08-24"
"current_product","course","machine-learning-in-production","","Machine Learning in Production","Instructor: Andrew Ng","Intermediate","10h59m","project scoping; data and model pipelines; baselines; concept drift; error analysis; monitoring; continuous improvement","已有 ML/DL 基础和中级 Python 的 ML practitioner 与软件工程师","https://www.deeplearning.ai/courses/machine-learning-in-production","https://github.com/https-deeplearning-ai/machine-learning-engineering-for-production-public","official_historical_companion","仓库根目录 Apache-2.0；具体文件如有单独声明或第三方 NOTICE 以其为准；许可不外延到课程视频、页面或平台 lab","当前课程页可访问；仓库配套原四课 MLEP 专项课程，不能声称与当前 standalone course 逐课一致","2026-08-24"
"current_product","short_course","chatgpt-building-system","","Building Systems with the ChatGPT API","Co-instructors: Isa Fulford; Andrew Ng","Beginner","1h55m","multi-stage prompt chains; classification; moderation; task decomposition; output checking; evaluation; chatbot","具备基本 Python、希望构建多步骤 LLM 系统的开发者","https://www.deeplearning.ai/courses/chatgpt-building-system","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","课程页可访问；本轮未发现可核验的公开官方课程仓库","2026-08-24"
"current_product","short_course","chatgpt-prompt-eng","","ChatGPT Prompt Engineering for Developers","Co-instructors: Isa Fulford; Andrew Ng","Beginner","1h40m","prompt principles; iterative prompting; summarizing; inferring; transforming; expanding; chatbot","有基本 Python 的初学开发者及希望系统学习提示工程的 ML 工程师","https://www.deeplearning.ai/courses/chatgpt-prompt-eng","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","课程页可访问；社区 notebook/字幕仓库均不得标为官方","2026-08-24"
"current_product","short_course","google-cloud-vertex-ai","","Understanding and Applying Text Embeddings","Co-instructors: Nikita Namjoshi; Andrew Ng","Beginner","1h44m","embeddings; semantic similarity; classification; clustering; outlier detection; ScaNN; semantic search; question answering","具备基本 Python、希望学习 embedding 与 NLP 检索应用的人","https://www.deeplearning.ai/courses/google-cloud-vertex-ai","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","课程页可访问；同名个人仓库不能作为官方性证据","2026-08-24"
